question,answer,tags,description
bagaimana cara nak tukar cawangan?,"Untuk menukar lokasi temujanji (lokasi cawangan) dalam aplikasi Flabee Care, sila ikut langkah berikut:
 
 1️⃣ Buka aplikasi Flabee Care
 2️⃣ Pergi ke menu “Temujanji Saya (My Appointment)”
 3️⃣ Tekan “Urus Temujanji (Manage Appointment)”
 4️⃣ Pilih “Tukar Lokasi (Change Location)”
 5️⃣ Pilih lokasi/cawangan baru yang diinginkan
 6️⃣ Klik “Sahkan (Confirm)” untuk simpan pertukaran
 
 Jika pilihan ""Tukar Lokasi"" tidak tersedia, puan/encik perlu batalkan temujanji lama dan buat tempahan baru di lokasi yang diinginkan.
 
 Jika ada masalah, sila hubungi Khidmat Pelanggan Ultrasound kami:
 
 1️⃣ 014-3577226 – Kangar, Pulau Pinang, Kedah, Kelantan, Perak, Terengganu
 2️⃣ 018-9092933 – Kuala Lumpur, Selangor
 3️⃣ 014-9317226 – Negeri Sembilan, Johor, Sabah, Sarawak, Melaka, Pahang
 
 Kami sentiasa sedia membantu! 🌸",Appointment; Change Outlet,""
Macam mana nak batalkan temujanji dalam aplikasi Flabee Care?,"Untuk batalkan temujanji dalam aplikasi Flabee Care, sila ikut langkah berikut:
 
 1️⃣ Buka aplikasi Flabee Care
 2️⃣ Pergi ke menu “Temujanji Saya (My Appointment)”
 3️⃣ Pilih temujanji yang ingin dibatalkan
 4️⃣ Tekan “Urus Temujanji (Manage Appointment)”
 5️⃣ Pilih “Batalkan Temujanji (Cancel Appointment)”
 6️⃣ Sahkan pembatalan
 
 
 Jika puan/encik perlukan bantuan untuk pembatalan manual, sila hubungi Khidmat Pelanggan Ultrasound:
 
 1️⃣ 014-3577226 – Kangar, Pulau Pinang, Kedah, Kelantan, Perak, Terengganu
 2️⃣ 018-9092933 – Kuala Lumpur, Selangor
 3️⃣ 014-9317226 – Negeri Sembilan, Johor, Sabah, Sarawak, Melaka, Pahang
 
 Kami sedia membantu! 🌸",Appointment; Cancel,""
cara nak view softcopy di flabee app?,"Langkah‑langkah Menonton Gambar & Video Ultrasound
 
 1. Buka aplikasi Flabee Care pada telefon anda. 
 
 
 2. Pergi ke menu “Ultrasound Scan” — di sinilah semua rekod ultrasound anda disimpan. 
 
 
 3. Skrol dan pilih rekod tersebut, kemudian tekan ‘View’. 
 
 
 4. Tap pada imej untuk paparan skrin penuh;
 Tap ikon ▶️ untuk mainkan video. 
 
 
 5. Anda boleh skrol melalui semua gambar dan video yang tersedia.",Account; Softcopy; Ultrasound,""
Saya ada masalah dengan softcopy. Macam mana nak dapatkan semula?,"Jika puan/encik menghadapi masalah berkaitan softcopy gambar atau video ultrasound, kami sedia membantu. 🌸
 
 Sila hubungi terus melalui WhatsApp:
 📲 014-9137226
 
 Atau, mohon berikan maklumat berikut untuk semakan lanjut:
 
 📌 Nama penuh
 📌 Nombor telefon
 📌 Email
 📌 Tarikh & cawangan scan
 📌 Pakej
 
 Kami akan bantu semak dan hantarkan semula softcopy secepat mungkin ya.",Account; Softcopy; Ultrasound,""
saya tak boleh view pakej lain.. kenapa ya?,"Pakej yang dipaparkan dalam aplikasi adalah bergantung kepada minggu kandungan (gestational age) puan/encik.
 
 ✅ Sistem kami hanya akan paparkan pakej yang bersesuaian dengan usia kandungan yang puan/encik masukkan semasa tempahan.
 
 📌 Jika puan/encik ingin semak atau ubah minggu kandungan untuk lihat pilihan pakej lain, sila:
 
 1. Pergi ke bahagian ""Profil / Profile""
 
 
 2. Kemas kini maklumat usia kandungan
 
 
 3. Pakej lain akan dipaparkan mengikut info yang dikemaskini
 
 
 
 Jika puan/encik perlukan bantuan untuk pembatalan manual, sila hubungi Khidmat Pelanggan Ultrasound:
 
 1️⃣ 014-3577226 – Kangar, Pulau Pinang, Kedah, Kelantan, Perak, Terengganu
 2️⃣ 018-9092933 – Kuala Lumpur, Selangor
 3️⃣ 014-9317226 – Negeri Sembilan, Johor, Sabah, Sarawak, Melaka, Pahang
 
 Kami sedia membantu! 🌸",Appointment; Booking; Package,""
Saya nak buat booking tapi payment tak lepas. Boleh bantu?”,"Maaf atas kesulitan yang puan/encik hadapi. Jangan risau, kami sedia bantu! 🌸
 
 Sila cuba langkah berikut terlebih dahulu:
 
 1️⃣ Pastikan sambungan internet stabil semasa pembayaran
 2️⃣ Guna kad debit/kredit yang aktif atau akaun e-wallet/FPX yang mencukupi baki
 3️⃣ Cuba semula selepas beberapa minit, atau guna peranti berbeza
 
 Jika masih gagal, mohon berikan maklumat berikut untuk semakan lanjut:
 
 📌 Nama penuh
 📌 Nombor telefon
 📌 Emel
 📌 Cawangan & jenis pakej
 
 
 Atau hubungi Customer Service Ultrasound kami melalui WhatsApp:
 
 1️⃣ 014-3577226 – Kangar, Penang, Kedah, Kelantan, Perak, Terengganu
 2️⃣ 018-9092933 – Kuala Lumpur, Selangor
 3️⃣ 014-9317226 – Negeri Sembilan, Johor, Sabah, Sarawak, Melaka, Pahang
 
 Kami akan bantu semak dan selesaikan untuk puan/encik secepat mungkin!",Appointment; Payment,""
saya cuba download app flabee tapi perlu payment,"Tidak, muat turun aplikasi Flabee Care adalah percuma—tidak ada bayaran untuk sistem operasi Android atau iOS.",Appointment; Payment,""
Hi boleh dapatkan resit?,"🌼 Hai! Untuk permintaan resit atau invois, sila isi borang berikut:
 
 📄 https://form.jotform.com/250578604610051
 
 📧 Pihak kewangan akan menghantar emel dalam tempoh 7 hari bekerja.
 
 Terima kasih kerana memilih Sonobee! 🥰",Receipt; Invoice,https://form.jotform.com/250578604610051
hi kenapa saya login tapi keluar error code number already exist,"💡 Apa yang anda boleh buat *sekarang:
 
 ✨ Cara Login Semula Akaun Flabee ✨
 Ikuti langkah mudah ini:
 
 1️⃣ Tekan ""Continue with Email""
 2️⃣ Pilih ""Forgot Password""
 3️⃣ Masukkan email anda
 4️⃣ Semak emel untuk kod OTP
 5️⃣ Masukkan kod OTP & log masuk semula ✅
 
 Jika masih ttsapp kami ya! 😊📱. Klik sini untuk bantuan 👉 [💬 •⁠ ⁠Customer service Ultrasound :
 1️⃣ 014-3577226 - Kangar \Penang\Kedah\Kelantan\Perak\Terengganu
 
 2️⃣ 018-9092933- KL\Selangor 
 
 3️⃣ 014-9317226 - Negeri Sembilan\Johor\Sabah/
 \Sarawak\Melaka\Pahang
 
 •⁠ ⁠Customer Service Softcopy/Report: 
 🔹 014-9137226
 
 •⁠ ⁠Nipt / Blood test / Gender Reveal Party / DNA Development Kids Test
 ▫️014-3447226
 
 •⁠ ⁠Phototherapy / Maternity & Newborn Photography / Post natal massage 
 🔸 011-19571050]",Repeat Scan,""
kenapa tak boleh pay at counter,"Ini bukan masalah sistem (bukan bug).
 Pada satu-satu masa, pelanggan hanya dibenarkan mempunyai satu slot aktif yang menggunakan pilihan “Pay at Store / Pay at Counter”.
 
 Jika anda pernah buat tempahan sebelum ini dan belum hadir atau belum dibatalkan, sistem akan halang tempahan baru guna “Pay at Counter”.
 
 
 ---
 
 🔁 Apa yang perlu anda buat:
 
 1️⃣ Sila semak dan batalkan semua tempahan lama yang belum digunakan.
 2️⃣ Lepas itu, anda boleh teruskan tempahan baru dengan pilihan “Pay at Counter” seperti biasa.
 
 🚫 Ini adalah untuk elakkan slot dibooking tapi tidak dihadiri, supaya pelanggan lain juga berpeluang buat scan.
 
 📞 Perlu bantuan batalkan booking lama? Hubungi kami di:
 
 018-9092933 (KL/Selangor) , 014-9317226(Negeri Sembilan/Johor/Melaka/Pahang) ,014-3577226(Kangar/Penang/Kedah/Kelantan/Perak/Terengganu)
 
 Atau customer service kawasan anda (rujuk senarai nombor di atas)",Account; Login; Phone; Email,""
Saya ingin batalkan temujanji kerana saya telah keguguran. Apa perlu saya buat?,"Hi puan, kami ucapkan takziah atas kehilangan ini. 💐
 Untuk pembatalan temujanji, sila klik butang ‘Cancel Appointment’ di aplikasi Flabee Care dan remark (keguguran)
 Jika puan menghadapi masalah untuk membatalkan melalui aplikasi, boleh hubungi terus khidmat pelanggan mengikut kawasan seperti berikut:
 
 •⁠ ⁠Customer Service Ultrasound:
 1️⃣ 014-3577226 – Kangar / Penang / Kedah / Kelantan / Perak / Terengganu
 2️⃣ 018-9092933 – KL / Selangor
 3️⃣ 014-9317226 – Negeri Sembilan / Johor / Sabah / Sarawak / Melaka / Pahang
 
 Terima kasih dan semoga puan diberi kekuatan 💐",Payment; Appointment,""
Kenapa saya tidak boleh buat bayaran menggunakan Touch 'n Go (TNG) eWallet?,"Hai! Maaf ya, buat masa ini sistem kami mungkin mengalami gangguan untuk pembayaran menggunakan Touch 'n Go eWallet.
 
 Untuk memastikan tempahan anda berjaya, kami syorkan puan menggunakan kaedah pembayaran lain seperti:
 ✅ Online Banking (FPX)
 ✅ Kad Kredit/Debit
 ✅ Atau eWallet lain yang tersedia
 
 Jika masih tidak berjaya walaupun telah cuba kaedah lain, mohon puan berikan butiran berikut untuk semakan lanjut:
 
 📌 Nama penuh:
 📌 Alamat emel berdaftar:
 📌 No Telefon : 
 📌 Screenshot ralat (jika ada):
 
 Kami akan bantu semak dan maklumkan secepat mungkin.",Appointment; Cancel; Abortion,""
"Saya sudah beli baucar dari laman web DoctoronCall, jadi kenapa perlu buat bayaran sekali lagi?","Adakah anda ada promo code? Sejak kita tukar kepada sistem baru, semua diskaun gena pakai promo code. Kalau tak ada promo code, puan boleh screenshot bagi kita tengok",Payment,""
dekat mana saya nak tengok repeat scan voucher yg diberi oleh sonographer?,boleh check melalui email atau notification bar di flabee care app,Payment,""
saya terdelete acc kenapa flabee point sy jadi 0,boleh uninstall dan reinstall semula ya.,Repeat Scan; Promo Code; Email,""
Saya nak tukar pakej,"Hi! Untuk tukar pakej dalam aplikasi Flabee Care, sila ikut langkah mudah berikut:
 1. Buka aplikasi Flabee Care dan log masuk ke akaun anda.
 2. Pergi ke menu ‘Pakej Saya’ atau ‘My Package’.
 3. Pilih pilihan ‘Tukar Pakej’ atau ‘Change Package’.
 4. Senarai pakej-pakej tersedia akan dipaparkan — pilih pakej baharu yang anda inginkan.
 5. Tekan butang Sahkan atau Confirm untuk tukar pakej.
 
 Jika anda ada sebarang masalah seperti tidak jumpa menu “Tukar Pakej”, atau proses tidak berjaya, sila hubungi Customer Service kami mengikut kawasan anda:
 1️⃣ 014-3577226 – Kangar, Penang, Kedah, Kelantan, Perak, Terengganu
 2️⃣ 018-9092933 – Kuala Lumpur, Selangor
 3️⃣ 014-9317226 – Negeri Sembilan, Johor, Sabah, Sarawak, Melaka, Pahang",Flabee Point,""
Boleh dapatkan resit?,"Hai, untuk resit/invois sila isi borang ini.
 Pihak kewangan akan menghantar dalam tempoh 7 hari bekerja. Terima kasih 🥰
 
 🔗 https://form.jotform.com/250578604610051",Change Package,""
Boleh dapatkan softcopy tahun lepas?,"Sila berikan butiran berikut untuk kami buat semakan:
 • Nama:
 • No. Telefon:
 • Email:
 • Cawangan:
 • Tarikh Scan:",Receipt; Invoice,https://form.jotform.com/250578604610051
Macam mana nak tengok softcopy di flabee app?,"Cara Lihat Gambar & Report di Flabee Care App 📲
 1. Login ke aplikasi Flabee Care.
 2. Klik “Imbasan Ultrasound” atau “Laporan” untuk melihat softcopy anda.
 
 💡 Jika gambar atau laporan tidak dapat dibuka, sila hubungi Customer Service kami 0149137226",Account; Softcopy; Ultrasound,""
Point flabee saya hilang selepas delete apps flabee.. boleh bantu?,"Sekiranya mata ganjaran (point) anda hilang selepas memadam aplikasi, sila nyahpasang (uninstall) dan pasang semula (install) aplikasi Flabee Care terlebih dahulu.
 
 Jika mata ganjaran masih tidak dipaparkan, mohon kemukakan maklumat berikut untuk semakan kami:
 • Nama
 • Alamat E-mel
 • Nombor Telefon",Account; Softcopy; Ultrasound,""
Saya tak boleh login (network request failed) macam mana?,"Sila cuba langkah ini terlebih dahulu:
 1. Uninstall dan reinstall aplikasi Flabee Care.
 2. Cuba log masuk di peranti lain.
 
 Jika masalah masih berlarutan, sila berikan maklumat berikut untuk semakan kami:
 • Nama penuh
 • Nombor telefon
 • E-mel
 • Cawangan
 • Tarikh temujanji
 • Pakej",Flabee Point,""
Saya dah batalkan repeat scan. Bagaimana cara untuk buat tempahan semula? Promo code tersebut sudah tidak boleh digunakan lagi,"Sila hubungi Customer Service kami untuk membuat tempahan semula repeat scan:
 
 📍 KL & Selangor: 018-9092933
 📍 Negeri Sembilan, Johor, Sabah, Sarawak, Melaka, Pahang: 014-9317226
 📍 Perlis, Pulau Pinang, Kedah, Kelantan, Perak, Terengganu: 014-3577226
 
 ✨ Terima kasih atas kerjasama anda. 💛",Login,""
Saya menerima whatsapp untuk reschedule .. bagaimana cara untuk reschedule?,"Langkah-langkah Reschedule Appointment
 
 1. Buka aplikasi Flabee Care dan log masuk menggunakan akaun anda. 
 
 
 2. Pergi ke menu “Appointments” atau “Janji Temu” — biasanya tersedia di tab utama atau dalam menu profil.
 
 
 3. Pilih janji temu yang ingin anda tukar. Anda akan melihat butang seperti “Reschedule”, “Tukar Janji Temu” atau simbol pen. 
 
 
 4. Klik pilihan itu dan pilih tarikh serta masa baru yang sesuai dengan jadual anda.
 
 
 5. Sahkan pilihan anda, dan aplikasi akan mengemas kini janji temu tersebut. Anda mungkin juga menerima pengesahan melalui emel atau notifikasi. Sekiranya anda menghadapi sebarang masalah, sila hubungi pasukan khidmat pelanggan kami di cawangan pilihan anda 0189092933 - KL/SELANGOR 0149317226 - NEGERI SEMBILAN/JOHOR/SABAH/SARAWAK/MELAKA/PAHANG 0143577226 - KANGAR/PENAG/KELANTAN/PERAK/TERENGGANU",Repeat Scan; Promo Code,""
saya masih belum terima resit selepas 7 hari bekerja,"Mohon maaf atas kesulitan ini. Sila berikan nama penuh, alamat e-mel, tarikh temujanji, dan nombor telefon untuk semakan status resit anda.",general,""
saya dapat report dan gambar orang lain..,"Mohon kongsikan nama, nombor telefon, e-mel, tarikh temujanji, dan cawangan untuk memudahkan semakan kami.",general,""
saya tak boleh download report,"Untuk muat turun report di Flabee apps 😊
1️⃣ Login ke aplikasi Flabee
2️⃣ Tekan bahagian Report
3️⃣ Klik butang Download

Jika masih tidak berjaya, sila WhatsApp kami di 014-9137226.",general,""
cara muat turun aplikasi flabee care dan melihat laporan dan gambar,"Dapatkan Akses Mudah ke Laporan & Imej Ultrasound Anda dengan Flabee Care! ✨

Kini, semua maklumat kehamilan penting anda hanya di hujung jari! Muat turun aplikasi Flabee Care untuk melihat laporan kesihatan dan imej ultrasound anda dengan mudah dan selamat.

📱 iOS: https://apps.apple.com/my/app/bebeecare/id6733240035
📱 Android: https://play.google.com/store/apps/details?id=com.bebeecare.asia

Cara Melihat Imej Ultrasound Anda:
✅ Buka aplikasi Flabee Care
✅ Log masuk ke akaun anda
✅ Pergi ke bahagian Laporan atau Imej Ultrasound

Terima kasih! ❤️👶",general,""
"Saya sudah membuat bayaran untuk booking, tetapi saya menerima e-mel yang menyatakan booking saya dibatalkan. Boleh bantu semak?","Sila kemukakan e-mel resit bayaran bersama butiran berikut untuk semakan:

Nama

E-mel

Nombor telefon

Cawangan

Tarikh & masa temujanji

Pakej


Terima kasih. 🙏",general,""
Bagaimana sy nk check promo code utk repeat scan,"Untuk semak promo code bagi repeat scan, anda boleh rujuk di dalam email yg anda daftarkan semasa membuat akaun flabecare atau terus tgk di bahagian notifikasi di aplikasi flabeecare",general,""
Boleh tolong booking kan slot untuk saya kerana saya tiada online banking,Boleh puan tapi akan ada extra charge 30% on top of the price pakej atau puan bole buat booking sendiri di aplikasi dan di bahagian payment method puan boleh klik “pay at store”,general,""
Sono - ultrasound ada tersedia doktor?,"Tidak, kami bukan doktor bertauliah.
Namun begitu, kami bekerjasama rapat dengan doktor perubatan—termasuk pakar radiologi dan doktor am—di outlet-outlet tertentu.

Bergantung kepada lokasi, terdapat outlet yang menyediakan perkhidmatan doktor pakar untuk menjalankan atau mentafsir imbasan ultrasound.
Walaubagaimanapun, yuran konsultasi doktor mungkin berbeza mengikut klinik, kerana setiap outlet beroperasi secara bebas.

🔍 Perlukah kami bantu cadangkan outlet yang menyediakan konsultasi doktor?
Kami sedia membantu berdasarkan lokasi dan keperluan anda.",general,""
adakah saya perlu berpuasa sebelum membuat sesi imbasan untuk pakej abdomen ?,"Peringatan untuk imbasan abdomen:

1. Berpuasa sekurang-kurangnya 6 jam sebelum imbasan.


2. Tidak dibenarkan makan atau minum, kecuali air kosong.


3. Pastikan pundi kencing penuh sebelum imbasan (disarankan tidak ke tandas 1 jam sebelum imbasan).",general,""
pakej yang sesuai untuk sesi imbasan untuk misscariage ada tak?,"Untuk sesi imbasan bagi keguguran, pakej yang sesuai adalah pakej ultrasound ginekologi atau ‘uterus+ovary+bladder’ pakej bagi pemeriksaan kehamilan bermasalah yang disediakan oleh pusat ultrasound.",general,""
sesi imbasan boleh check ovulasi tak?,"Ya, sesi imbasan ultrasound boleh digunakan untuk memeriksa ovulasi dengan memantau folikel di ovari dan menentukan masa subur.",general,""
setiap imbasan boleh nampak warna kulit baby ?,"Dalam imbasan seperti Anatomy Scan + 5D, imej 5D memberikan gambaran yang lebih jelas dan terperinci termasuk tekstur dan warna kulit bayi yang lebih nyata berbanding imbasan standard.",general,""
"Saya ada azoospermia , boleh ke saya buat testicular ultrasound ?",Saluran sperm tak boleh check. Boleh check appearance scrotum saja,general,""
saya tidak dapat register akaun flabee care kerana number phone exist,"Nombor telefon hanya boleh didaftarkan kepada satu akaun Flabee sahaja. Jika nombor telefon anda sudah digunakan, anda tidak boleh mendaftar akaun baru dengan nombor tersebut.",general,""
KUB untuk scan apa ?,"Imbasan KUB merujuk kepada Ultrasound Abdomen yang melibatkan buah pinggang (Kidneys), pundi kencing (Urinary bladder), dan pelvis. Ada apa-apa lagi yang saya boleh bantu?",general,""
"Ada cas tambahan ke? Dan 
berapa cas jika sekali 
dengan consultation?","Tiada cas tambahan dikenakan, Di sonobee 
tiada doctor untuk consultation, hanya 
penerangan dari sonographer sahaja semasa 
scan.",general,""
"Saya nak ambil pakej 
Anatomy scan dengan 
gender boleh ke?","Anatomy scan dah termasuk dengan gender 
scan.",general,""
"Saya dah lama tak datang 
period, bila saya cek upt 
test negative, pakej apa 
yang perlu saya ambil untuk 
cek masalah saya.?","Puan boleh ambil pakej Uterus + Ovaries + 
Bladder untuk lihat keadaan rahim dan ovari.",general,""
"Saya ada benjolan di leher, 
pakej scan apa perlu saya 
ambil untuk tengok masalah 
saya.?",Boleh ambil pakej Thyroid Scan.,general,""
Boleh ke saya terus walk in,"Puan disarankan untuk buat appoinment 
dahulu sebelum datang untuk dapatkan harga 
promosi dari sonobee",general,""
"Di cawangan Tanah Merah 
ada buat TVS scan?","Maaf puan, untuk cawangan Tanah Merah 
tiada TVS scan, TVS scan hanya terdapat di 
cawangan Kota Bharu",general,""
"Boleh saya buat booking 
melalui whatsapp?","Booking hanya boleh dibuat diwebsite 
www.sono-ultrasound.com",general,""
"Saya boleh rakam ke 
semasa scan?","Puan dibenarkan membuat rakaman kecuali 
untuk pakej anatomy scan tidak dibenarkan.",general,""
"Jika saya bukan 
warganegara, berapa harga 
untuk scan?",Harga sama sahaja seperti warganegara,general,""
"Boleh ke saya buat TVS scan 
untuk detect early 
pregnancy?","Maaf puan, tidak digalakan untuk buat TVS 
scan pada awal kehamilan.",general,""
"Kalau di Klinik Anda Pokok 
Sena tu, Doctor ke yang 
akan scan?","Tidak, sonographer yang akan scan.",general,""
"Disini ada pakej untuk scan 
perut?",Anda boleh ambil pakej Upper Abdomen,general,""
"Di sonobee ada buat NIPT 
test?","Ada, puan boleh terus hubungi pegawai 
khidmat pelanggan kami di talian,
http://www.wasap.my/60143447226",general,""
".Untuk pakej Anatomy + 5D 
apa yang akan saya dapat?","Puan akan dapat softcopy gambar, softcopy 
video dan softcopy simple report.",general,""
Bagaimana saya nak download video ultrasound,"Cara Download Gambar Ultrasound di Flabee Care

1. Buka aplikasi Flabee Care di telefon anda.

2. Log masuk menggunakan e-mel atau nombor telefon yang didaftarkan semasa buat temujanji.

3. Pada menu utama, pilih Report/Result atau Laporan.

4. Cari tarikh temujanji yang berkaitan.

5. Tekan Download pada fail gambar ultrasound. Gambar akan disimpan terus ke Gallery/Photos telefon anda.",general,""
Folder yang diterima kosong tiada report / softcopy gambar / video scan.,"Sila isi butiran di bawah untuk semakan:
Nama:
Email:
Cawangan:
Tarikh scan:
No. telefon:
Pakej:",general,""
